event,username,day,month,year,hour,minute,second
disconnected,DiegoPlusUltra,4,4,2024,4,46,50
connected,Saborcito,5,4,2024,2,44,55
connected,Altoemilius,5,4,2024,2,46,37
disconnected,Saborcito,5,4,2024,4,55,12
disconnected,Altoemilius,5,4,2024,4,55,12
connected,Altoemilius,6,4,2024,4,16,54
connected,Saborcito,6,4,2024,4,17,32
disconnected,Altoemilius,6,4,2024,6,14,36
disconnected,Saborcito,6,4,2024,6,14,37
connected,fabimontans,8,4,2024,1,34,19
connected,Altoemilius,8,4,2024,2,15,44
connected,Saborcito,8,4,2024,2,32,14
connected,DiegoPlusUltra,8,4,2024,2,41,13
disconnected,DiegoPlusUltra,8,4,2024,3,55,1
disconnected,Saborcito,8,4,2024,4,48,54
disconnected,Altoemilius,8,4,2024,4,48,54
disconnected,fabimontans,8,4,2024,4,48,54
connected,Altoemilius,8,4,2024,5,16,36
connected,Altoemilius,8,4,2024,5,16,38
disconnected,Altoemilius,8,4,2024,5,16,41
disconnected,Altoemilius,8,4,2024,5,16,43
offline,Altoemilius,8,4,2024,5,16,54
offline,Altoemilius,8,4,2024,5,16,55
offline,DiegoPlusUltra,8,4,2024,12,32,4
connected,fabimontans,9,4,2024,2,25,34
connected,Altoemilius,9,4,2024,2,30,51
connected,Saborcito,9,4,2024,2,41,14
disconnected,fabimontans,9,4,2024,3,11,11
connected,fabimontans,9,4,2024,3,11,42
disconnected,Altoemilius,9,4,2024,4,46,45
disconnected,fabimontans,9,4,2024,4,46,45
disconnected,Saborcito,9,4,2024,4,46,45
offline,Altoemilius,9,4,2024,21,47,50
offline,Altoemilius,9,4,2024,21,47,50
online,Altoemilius,9,4,2024,21,48,3
online,Altoemilius,9,4,2024,21,48,3
offline,Altoemilius,9,4,2024,21,52,1
offline,Altoemilius,9,4,2024,21,52,1
online,Altoemilius,9,4,2024,21,53,23
online,Altoemilius,9,4,2024,21,53,23
offline,Altoemilius,9,4,2024,21,57,36
offline,Altoemilius,9,4,2024,21,57,36
online,Altoemilius,9,4,2024,21,57,45
online,Altoemilius,9,4,2024,21,57,45
offline,Altoemilius,9,4,2024,21,58,54
offline,Altoemilius,9,4,2024,21,58,54
offline,Altoemilius,9,4,2024,23,50,28
